127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001209
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001816
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/js/jquery.js, HTTP/1.1, 304, 0.001543
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/css/calendar.css, HTTP/1.1, 304, 0.000266
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001901
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/js/calendar.js, HTTP/1.1, 304, 0.000388
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/js/share.js, HTTP/1.1, 304, 0.001290
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001861
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001146
127.0.0.1, 2015-11-11 13:50:56, GET, /ucmag/static/js/web2py.js, HTTP/1.1, 304, 0.002525
127.0.0.1, 2015-11-11 13:50:57, GET, /ucmag/static/images/twitter.png, HTTP/1.1, 304, 0.001333
127.0.0.1, 2015-11-11 13:50:57, GET, /ucmag/static/images/gplus-32.png, HTTP/1.1, 304, 0.000571
127.0.0.1, 2015-11-11 13:50:57, GET, /ucmag/static/images/facebook.png, HTTP/1.1, 304, 0.001317
127.0.0.1, 2015-11-11 13:50:57, GET, /ucmag/static/images/favicon.ico, HTTP/1.1, 200, 0.000427
127.0.0.1, 2015-11-11 13:50:58, GET, /ucmag/default/index, HTTP/1.1, 200, 0.027949
127.0.0.1, 2015-11-11 13:50:58, GET, /ucmag/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000771
127.0.0.1, 2015-11-11 13:50:58, GET, /ucmag/static/css/calendar.css, HTTP/1.1, 304, 0.004894
127.0.0.1, 2015-11-11 13:50:58, GET, /ucmag/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.005911
127.0.0.1, 2015-11-11 13:50:58, GET, /ucmag/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.005127
127.0.0.1, 2015-11-11 13:50:58, GET, /ucmag/static/js/jquery.js, HTTP/1.1, 304, 0.000813
127.0.0.1, 2015-11-11 13:50:58, GET, /ucmag/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004542
127.0.0.1, 2015-11-11 13:50:58, GET, /ucmag/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001038
127.0.0.1, 2015-11-11 13:50:58, GET, /ucmag/static/js/share.js, HTTP/1.1, 304, 0.000545
127.0.0.1, 2015-11-11 13:50:58, GET, /ucmag/static/js/calendar.js, HTTP/1.1, 304, 0.001421
127.0.0.1, 2015-11-11 13:50:58, GET, /ucmag/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001645
127.0.0.1, 2015-11-11 13:50:58, GET, /ucmag/static/js/web2py.js, HTTP/1.1, 304, 0.001185
127.0.0.1, 2015-11-11 13:50:58, GET, /ucmag/static/images/twitter.png, HTTP/1.1, 304, 0.001007
127.0.0.1, 2015-11-11 13:50:58, GET, /ucmag/static/images/facebook.png, HTTP/1.1, 304, 0.000537
127.0.0.1, 2015-11-11 13:50:58, GET, /ucmag/static/images/gplus-32.png, HTTP/1.1, 304, 0.000479
127.0.0.1, 2015-11-11 13:50:58, GET, /ucmag/static/images/favicon.ico, HTTP/1.1, 200, 0.000422
127.0.0.1, 2015-11-11 13:52:02, GET, /ucmag/default/index, HTTP/1.1, 200, 0.026887
127.0.0.1, 2015-11-11 13:52:02, GET, /ucmag/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003054
127.0.0.1, 2015-11-11 13:52:02, GET, /ucmag/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000805
127.0.0.1, 2015-11-11 13:52:02, GET, /ucmag/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001945
127.0.0.1, 2015-11-11 13:52:02, GET, /ucmag/static/css/calendar.css, HTTP/1.1, 304, 0.001784
127.0.0.1, 2015-11-11 13:52:02, GET, /ucmag/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.002369
127.0.0.1, 2015-11-11 13:52:02, GET, /ucmag/static/js/jquery.js, HTTP/1.1, 304, 0.000768
127.0.0.1, 2015-11-11 13:52:02, GET, /ucmag/static/js/calendar.js, HTTP/1.1, 304, 0.000912
127.0.0.1, 2015-11-11 13:52:02, GET, /ucmag/static/js/web2py.js, HTTP/1.1, 304, 0.000596
127.0.0.1, 2015-11-11 13:52:02, GET, /ucmag/static/js/share.js, HTTP/1.1, 304, 0.001240
127.0.0.1, 2015-11-11 13:52:02, GET, /ucmag/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001996
127.0.0.1, 2015-11-11 13:52:02, GET, /ucmag/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001021
127.0.0.1, 2015-11-11 13:52:02, GET, /ucmag/static/images/twitter.png, HTTP/1.1, 304, 0.001011
127.0.0.1, 2015-11-11 13:52:02, GET, /ucmag/static/images/facebook.png, HTTP/1.1, 304, 0.000997
127.0.0.1, 2015-11-11 13:52:02, GET, /ucmag/static/images/gplus-32.png, HTTP/1.1, 304, 0.000616
127.0.0.1, 2015-11-11 13:52:02, GET, /ucmag/static/images/favicon.ico, HTTP/1.1, 200, 0.000455
127.0.0.1, 2015-11-11 13:52:06, GET, /ucmag/default/tasks, HTTP/1.1, 404, 0.022005
